,ID_new,avg_ndvi_1_year_before,std_ndvi_1_year_before,avg_ndvi_5_year_before,std_ndvi_5_year_before,lon,lat,avg_slope,ID,Fire_ID,bi,pr,tmmx,srad,fm1000,vs,tmmx,pr,erc,eto,etr,fm1000,tmmn,vpd,rmax,rmin,sph,srad,Acres,landcover,entropy_la,Year,StartMonth,Fire_Type
0,CA3989212363920080621_A,0.5936905985937364,0.058218094754055524,0.5969483929884875,0.07246650170216645,-116.27128053902926,32.58210403409334,897.7999698481715,CA3989212363920080621,CA3989212363920080621,33.04972726246815,5.822076297079477,290.86032030068696,213.63643603298922,18.574399448492397,5.9136279986955165,290.86032030068696,5.822076297079477,31.916988313212382,3.821585529118016,5.388310777764315,18.574399448492397,279.73793508813935,0.787177858517142,79.40234024857197,43.254696755206886,0.005726626456873376,213.63643603298922,7636.0,shrub_scrub,0.07343113707319,2008,6,WF
1,CA4084612185219920820_A,0.5348119037236267,0.12995499694228377,0.5552432901413226,0.12513451089050015,-116.05686653243221,32.608706823566486,1081.2734815087008,CA4084612185219920820,CA4084612185219920820,27.365380042846056,4.199683773687895,291.91618778413016,212.86497541437123,17.201857570923647,3.4623039722475273,291.91618778413016,4.199683773687895,36.72861915119087,3.6527943276177886,4.989563792031575,17.201857570923647,278.0175458154397,0.9870311452342831,75.70741315831437,35.76361878842779,0.005129583901335379,212.86497541437123,62340.0,evergreen_forest,0.381553069463533,1992,8,WF
2,CA3950412282120030903_A,0.6312343344935305,0.1366851856355406,0.6464515860925004,0.10009934251503101,-116.36887128462047,32.693935235118595,1127.5087374322786,CA3950412282120030903,CA3950412282120030903,26.823257949330443,3.5498630583239166,292.23204088454656,218.6386634028714,16.637257193993154,2.9110048408788938,292.23204088454656,3.5498630583239166,38.14297624019719,3.417249871180972,4.46230094667286,16.637257193993154,278.95095191990197,0.9588793282280385,78.04591713590182,36.318517801381596,0.005521834068021959,218.6386634028714,4903.0,shrub_scrub,0.381019708820961,2003,9,WF
3,CA4048812292220080621_A,0.6926453762047812,0.066185676239738,0.6943964934552359,0.08621069482321668,-116.62216324755738,32.71671405345668,1117.1905244189566,CA4048812292220080621,CA4048812292220080621,26.130680667851145,2.5911942989545964,290.86214903301067,210.79527911004286,16.366589937695213,2.803963726924681,290.86214903301067,2.5911942989545964,38.18381593142043,3.289142132954822,4.317136795782879,16.366589937695213,277.83905486145784,0.9094942429700393,76.19754773979179,38.06139553232395,0.00507804783235785,210.79527911004286,1120.0,shrub_scrub,0.921790487481162,2008,6,WF
4,CA4046112240819990926_A,0.420764990548843,0.0592093525893255,0.4456674363910788,0.08253428282838017,-116.31024262532313,32.748539485860384,224.13435697295165,CA4046112240819990926,CA4046112240819990926,29.582578056558578,2.628243460895105,297.2977563746405,212.195499509276,15.195918614556293,2.7998848024919374,297.2977563746405,2.628243460895105,43.63116579141755,4.041357172753182,5.499683022336667,15.195918614556293,283.5761614344268,1.4547656310633326,73.05520682536525,33.887468473115945,0.006075943377823312,212.195499509276,2586.0,grassland_herbaceous,0.958293956246183,1999,9,WF
5,CA4120212362120091007_A,0.7865285411587863,0.05590634859629694,0.7661902047504922,0.09873397249376098,-116.53400773134284,32.785941576720006,883.0295596143011,CA4120212362120091007,CA4120212362120091007,25.87829561153357,4.827728209662377,293.2121660060529,207.6549129462848,17.918313902274555,4.093371457738356,293.2121660060529,4.827728209662377,34.62169212362828,3.793788861095192,5.249239073612063,17.918313902274555,279.7434959695243,1.0637252572899296,75.74325368507553,37.82292774653584,0.005419253833875918,207.6549129462848,2870.0,developed_open_space,1.649348295732645,2009,10,WF
6,CA4072312226319900808_A,0.5637541255325,0.045766124194334394,0.5637541255325,0.045766124194334394,-116.35644988965433,32.816534560372055,494.82201102953286,CA4072312226319900808,CA4072312226319900808,28.727062573981165,4.998067511475615,295.693937871445,208.4531746866911,17.027219442078636,3.509549504708912,295.693937871445,4.998067511475615,38.22246890880053,4.06913406354934,5.62639024808862,17.027219442078636,281.9686142173175,1.2603418024718744,75.27801634764278,36.621620582231905,0.006022777660512854,208.4531746866911,1558.0,grassland_herbaceous,0.044796555309833,1990,8,WF
7,CA4035812356120150806_A,0.7365071011876674,0.07636237872549778,0.7128001747968719,0.08287586676515989,-117.03420763480402,32.82090690005514,1336.3355724879625,CA4035812356120150806,CA4035812356120150806,27.354364184240595,6.053721684401202,290.05385849363773,211.696035136616,18.001913785839903,4.1102473121131915,290.05385849363773,6.053721684401202,33.85058578770032,3.543714870526652,4.84780032185961,18.001913785839903,278.20149822840614,0.8436542836930959,74.63270127655287,39.41740847874028,0.005162814272874037,211.696035136616,20716.0,shrub_scrub,0.909666086114675,2015,8,WF
8,CA4099512207820120818_A,0.7014508391159265,0.1465329719642532,0.6732053203591675,0.13134689443492145,-114.47527923621318,32.84919389031995,1004.6221026098002,CA4099512207820120818,CA4099512207820120818,28.344561570069917,5.495911638896784,292.42984658701465,211.62434922979187,17.066679790173254,3.678533470039761,292.42984658701465,5.495911638896784,37.62317558867725,3.8237107163546558,5.284752248335587,17.066679790173254,278.6803344562715,1.0466647565126863,73.67112140748142,35.09336021466921,0.005114705825358664,211.62434922979187,47731.0,shrub_scrub,1.058563796332817,2012,8,WF
9,CA4032512290520080621_A,0.5149507041992339,0.0580223889553388,0.5516638785227015,0.060201606333715914,-116.76455555793991,33.315959937127126,798.721866627864,CA4032512290520080621,CA4032512290520080621,26.388456505424543,2.308385259631937,293.2998665644974,212.52543490605726,16.169885337032255,2.631264662274538,293.2998665644974,2.308385259631937,39.05615651340256,3.4379894112701597,4.519131088761746,16.169885337032255,278.9880947619119,1.0596903074086181,78.05324393459105,36.435943593967544,0.005464207612362702,212.52543490605726,12934.0,shrub_scrub,0.449468205721244,2008,6,WF
